id,title,description,availability,condition,price,link,image_link,brand,quantity_to_sell_on_facebook,size,item_group_id
114385208,More Pasta Less Drama Cap- White,"Featuring a classic dad hat design with fine embroidery, this cap is made from high-end 100%  cotton for a soft and comfortable feel. It also features an adjustable buckle strap to ensure a perfect fit.",in stock,new,53 USD,https://www.twinlion.co/more-pasta-less-drama-cap-white.html,https://cdn.shoplightspeed.com/shops/651012/files/71930856/screenshot-2025-08-26-at-102751pm.png,N/A,1,One size,68001693
114385190,Diet Coke Cap- Cranberry,"Featuring a classic dad hat design with fine embroidery, this cap is made from high-end 100%  cotton for a soft and comfortable feel. It also features an adjustable buckle strap to ensure a perfect fit.",in stock,new,53 USD,https://www.twinlion.co/diet-coke-cap-cranberry.html,https://cdn.shoplightspeed.com/shops/651012/files/71930807/screenshot-2025-08-26-at-102346pm.png,N/A,1,One size,68001677
114385175,Bartender Cap- Black,"Featuring a classic dad hat design with fine embroidery, this cap is made from high-end 100%  cotton for a soft and comfortable feel. It also features an adjustable buckle strap to ensure a perfect fit.",in stock,new,53 USD,https://www.twinlion.co/bartender-cap-black.html,https://cdn.shoplightspeed.com/shops/651012/files/71930804/screenshot-2025-08-26-at-102153pm.png,N/A,2,One size,68001672
114385143,Aspire To Retire Cap- Spruce,"Featuring a classic dad hat design with fine embroidery, this cap is made from high-end 100%  cotton for a soft and comfortable feel. It also features an adjustable buckle strap to ensure a perfect fit.",in stock,new,53 USD,https://www.twinlion.co/aspire-to-retire-cap-spruce.html,https://cdn.shoplightspeed.com/shops/651012/files/71930781/screenshot-2025-08-26-at-102007pm.png,N/A,1,One size,68001667
114372073,Women's Varsity Ankle Grip Sock- Ivory/Green,Grip socks perfect for sticking your workout.,in stock,new,18 USD,https://www.twinlion.co/womens-varsity-ankle-grip-sock-ivory-green.html,https://cdn.shoplightspeed.com/shops/651012/files/71918106/screenshot-2025-08-26-at-20427pm.png,N/A,2,S/M,67996372
114372062,Women's Varsity Ankle Grip Sock- Ivory/Green,Grip socks perfect for sticking your workout.,in stock,new,18 USD,https://www.twinlion.co/womens-varsity-ankle-grip-sock-ivory-green.html,https://cdn.shoplightspeed.com/shops/651012/files/71918106/screenshot-2025-08-26-at-20427pm.png,N/A,2,M/L,67996372
114371892,Women's Race Ankle Grip Sock- White,Grip socks perfect for sticking your workout.,in stock,new,16 USD,https://www.twinlion.co/womens-race-ankle-grip-sock-white.html,https://cdn.shoplightspeed.com/shops/651012/files/71917981/screenshot-2025-08-26-at-20110pm.png,N/A,1,M/L,67996316
114371783,Women's Posy Full Foot Grip Sock,Grip socks perfect for sticking your workout.,in stock,new,16 USD,https://www.twinlion.co/womens-posy-full-foot-grip-sock.html,https://cdn.shoplightspeed.com/shops/651012/files/71917869/screenshot-2025-08-26-at-15908pm.png,N/A,2,S/M,67996277
114371776,Women's Posy Full Foot Grip Sock,Grip socks perfect for sticking your workout.,in stock,new,16 USD,https://www.twinlion.co/womens-posy-full-foot-grip-sock.html,https://cdn.shoplightspeed.com/shops/651012/files/71917869/screenshot-2025-08-26-at-15908pm.png,N/A,1,M/L,67996277
114371680,Women's Phoebe Ankle Grip Sock,Grip socks perfect for sticking your workout.,in stock,new,16 USD,https://www.twinlion.co/womens-phoebe-ankle-grip-sock.html,https://cdn.shoplightspeed.com/shops/651012/files/71918220/screenshot-2025-08-26-at-15727pm.png,N/A,2,M/L,67996247
