id,title,description,availability,condition,price,link,image_link,brand,item_group_id
66894739,WOODLAND SCUBA FULL ZIP- Black,WOODLAND SCUBA FULL ZIP- Black,in stock,new,0.00 USD,woodland-scuba-full-zip-black,https://cdn.shoplightspeed.com/shops/651012/files/70056613/screen-shot-2024-06-21-at-31550-pm.png,,66894739
66894735,TOP FLIGHT VEST- Asphalt,TOP FLIGHT VEST- Asphalt,out of stock,new,0.00 USD,top-flight-vest-asphalt,https://cdn.shoplightspeed.com/shops/651012/files/70056603/topflightvest-asphalt-0003-900x.webp,,66894735
66894734,Go-to Polo- Stone,Go-to Polo- Stone,in stock,new,0.00 USD,go-to-polo-stone,https://cdn.shoplightspeed.com/shops/651012/files/70056602/screen-shot-2024-05-28-at-101151-pm.png,,66894734
66894733,Go-to Polo- Heather Silver Spoon,Go-to Polo- Heather Silver Spoon,in stock,new,0.00 USD,go-to-polo-heather-silver-spoon,https://cdn.shoplightspeed.com/shops/651012/files/70056600/screen-shot-2024-05-28-at-100931-pm.png,,66894733
66894727,Pique Tee Dress- White,Pique Tee Dress- White,in stock,new,0.00 USD,pique-tee-dress-white,https://cdn.shoplightspeed.com/shops/651012/files/70056595/screen-shot-2024-06-28-at-102308-am.png,,66894727
66894723,Pique Tee- Heather Grey,Pique Tee- Heather Grey,in stock,new,0.00 USD,pique-tee-heather-grey,https://cdn.shoplightspeed.com/shops/651012/files/70056583/screen-shot-2024-06-28-at-102651-am.png,,66894723
66894714,Pique Tee- Jet Black,Pique Tee- Jet Black,in stock,new,0.00 USD,pique-tee-jet-black,https://cdn.shoplightspeed.com/shops/651012/files/70056575/screen-shot-2024-06-28-at-103006-am.png,,66894714
66894711,Pique Tee- Navy,Pique Tee- Navy,in stock,new,0.00 USD,pique-tee-navy,https://cdn.shoplightspeed.com/shops/651012/files/70056569/screen-shot-2024-06-28-at-103220-am.png,,66894711
66894710,TREK SHIRT- CARBON/BLACK BUFFALO PLAID,TREK SHIRT- CARBON/BLACK BUFFALO PLAID,in stock,new,0.00 USD,trek-shirt-carbon-black-buffalo-plaid,https://cdn.shoplightspeed.com/shops/651012/files/70056566/screen-shot-2024-07-05-at-115118-am.png,,66894710
66894704,7' INVICTUS RIPSTOP SHORT - UNLINED- OLIVINE,7' INVICTUS RIPSTOP SHORT - UNLINED- OLIVINE,in stock,new,0.00 USD,7-invictus-ripstop-short-unlined-olivine,https://cdn.shoplightspeed.com/shops/651012/files/70056559/screen-shot-2024-07-21-at-32116-pm.png,,66894704
66894696,GOLF SPORT POLO- SEAGRASS GREEN,GOLF SPORT POLO- SEAGRASS GREEN,in stock,new,0.00 USD,golf-sport-polo-seagrass-green,https://cdn.shoplightspeed.com/shops/651012/files/70056549/screen-shot-2024-07-21-at-33438-pm.png,,66894696
66894689,INVICTUS RIPSTOP ANORAK- Black,INVICTUS RIPSTOP ANORAK- Black,in stock,new,0.00 USD,invictus-ripstop-anorak-black,https://cdn.shoplightspeed.com/shops/651012/files/70056539/screen-shot-2024-07-21-at-33833-pm.png,,66894689
66894685,Go-to Henley Short Sleeve- HEATHER SILVER SPOON,Go-to Henley Short Sleeve- HEATHER SILVER SPOON,in stock,new,0.00 USD,go-to-henley-short-sleeve-heather-silver-spoon,https://cdn.shoplightspeed.com/shops/651012/files/70056525/screen-shot-2024-07-22-at-75838-am.png,,66894685
