id,title,description,availability,condition,price,link,image_link,brand,quantity_to_sell_on_facebook,size,item_group_id
112569650,Athena Pointelle Knit Vest- Egret,,in stock,new,110 USD,athena-pointelle-knit-vest-egret,https://cdn.shoplightspeed.com/shops/651012/files/70202715/screenshot-2025-05-09-at-14122pm.png,"{'resource': {'id': 2559355, 'url': 'brands/2559355', 'link': 'https://api.shoplightspeed.com/us/brands/2559355.json'}}",1,M,66982750
112569589,Scott Scoop Neck Midi Dress- Birch,Lightweight crochet dress.  The perfect versatile look for summer. ,in stock,new,178 USD,scott-scoop-neck-midi-dress-birch,https://cdn.shoplightspeed.com/shops/651012/files/70307601/screenshot-2025-05-09-at-13817pm.png,"{'resource': {'id': 2559355, 'url': 'brands/2559355', 'link': 'https://api.shoplightspeed.com/us/brands/2559355.json'}}",1,M,66982708
112569585,Scott Scoop Neck Midi Dress- Birch,Lightweight crochet dress.  The perfect versatile look for summer. ,in stock,new,178 USD,scott-scoop-neck-midi-dress-birch,https://cdn.shoplightspeed.com/shops/651012/files/70307601/screenshot-2025-05-09-at-13817pm.png,"{'resource': {'id': 2559355, 'url': 'brands/2559355', 'link': 'https://api.shoplightspeed.com/us/brands/2559355.json'}}",1,XXS,66982708
112569583,Scott Scoop Neck Midi Dress- Birch,Lightweight crochet dress.  The perfect versatile look for summer. ,in stock,new,178 USD,scott-scoop-neck-midi-dress-birch,https://cdn.shoplightspeed.com/shops/651012/files/70307601/screenshot-2025-05-09-at-13817pm.png,"{'resource': {'id': 2559355, 'url': 'brands/2559355', 'link': 'https://api.shoplightspeed.com/us/brands/2559355.json'}}",1,XS,66982708
112569577,Scott Scoop Neck Midi Dress- Birch,Lightweight crochet dress.  The perfect versatile look for summer. ,in stock,new,178 USD,scott-scoop-neck-midi-dress-birch,https://cdn.shoplightspeed.com/shops/651012/files/70307601/screenshot-2025-05-09-at-13817pm.png,"{'resource': {'id': 2559355, 'url': 'brands/2559355', 'link': 'https://api.shoplightspeed.com/us/brands/2559355.json'}}",0,S,66982708
112564125,Mabel Shirt- Strawberry Stand Terry,,in stock,new,98 USD,mabel-shirt-strawberry-stand-terry,https://cdn.shoplightspeed.com/shops/651012/files/70196036/screenshot-2025-05-09-at-93706am.png,"{'resource': {'id': 2557758, 'url': 'brands/2557758', 'link': 'https://api.shoplightspeed.com/us/brands/2557758.json'}}",0,XS,66980114
112564124,Mabel Shirt- Strawberry Stand Terry,,in stock,new,98 USD,mabel-shirt-strawberry-stand-terry,https://cdn.shoplightspeed.com/shops/651012/files/70196036/screenshot-2025-05-09-at-93706am.png,"{'resource': {'id': 2557758, 'url': 'brands/2557758', 'link': 'https://api.shoplightspeed.com/us/brands/2557758.json'}}",1,S,66980114
112564118,Mabel Shirt- Strawberry Stand Terry,,in stock,new,98 USD,mabel-shirt-strawberry-stand-terry,https://cdn.shoplightspeed.com/shops/651012/files/70196036/screenshot-2025-05-09-at-93706am.png,"{'resource': {'id': 2557758, 'url': 'brands/2557758', 'link': 'https://api.shoplightspeed.com/us/brands/2557758.json'}}",1,M,66980114
112564079,Kiara Short- Strawberry Stand Terry,,in stock,new,88 USD,kiara-short-strawberry-stand-terry,https://cdn.shoplightspeed.com/shops/651012/files/70195991/screenshot-2025-05-09-at-93706am.png,"{'resource': {'id': 2557758, 'url': 'brands/2557758', 'link': 'https://api.shoplightspeed.com/us/brands/2557758.json'}}",1,XS,66980102
112564078,Kiara Short- Strawberry Stand Terry,,in stock,new,88 USD,kiara-short-strawberry-stand-terry,https://cdn.shoplightspeed.com/shops/651012/files/70195991/screenshot-2025-05-09-at-93706am.png,"{'resource': {'id': 2557758, 'url': 'brands/2557758', 'link': 'https://api.shoplightspeed.com/us/brands/2557758.json'}}",0,S,66980102
